title,price,rating,reviews,availability
"JIKADA 61 Key Portable Electronic Keyboard Piano w/Lighted Full Size Keys,LCD,Headphones,X-Stand,Stool,Music Rest,Microphone,Note Stickers,Built-In Speakers,3 Teaching Modes,Ideal for Beginner Adult",,4.5 out of 5 stars,365 ratings,300+ bought in past month
"RockJam Compact 61 Key Keyboard with Sheet Music Stand, Power Supply, Piano Note Stickers & Simply Piano Lessons",,4.4 out of 5 stars,"31,655 ratings",1K+ bought in past month
"Korg, 88-Key Digital Pianos-Home (L1MRED)",$329.99,4.4 out of 5 stars,34 ratings,Not Available
"Yamaha YPT270 61-Key Portable Keyboard With Power Adapter (Amazon-Exclusive),Black",$159.99,4.8 out of 5 stars,"1,544 ratings",700+ bought in past month
Yamaha PSREW310 76-Key Touch Sensitive Portable Keyboard with PA130 Power Adapter,,4.7 out of 5 stars,786 ratings,200+ bought in past month
Yamaha PSRE373 61-Key Touch Sensitive Portable Keyboard with PA130 Power Adapter,$219.99,4.6 out of 5 stars,56 ratings,300+ bought in past month
"Donner Keyboard Piano 61 Key, Electric Keyboard Kit with 249 Voices, 249 Rhythms - Includes Piano Stand, Stool, Microphone, Gift for Beginners, Black (DEK-610S)",,4.5 out of 5 stars,215 ratings,100+ bought in past month
Roland GO:KEYS 61-key Music Creation Piano Keyboard with Integrated Bluetooth Speakers (GO-61K),$349.99,4.5 out of 5 stars,"1,146 ratings",100+ bought in past month
"MUSTAR Piano Keyboard, 61 Key Learning Keyboard Piano with Lighted Up Keys, Electric Piano Keyboard for Beginners, Piano Stand, Sustain Pedal, Headphones/Microphone, USB Midi, Built-in Speakers",$111.99 with 20 percent savings,4.4 out of 5 stars,538 ratings,400+ bought in past month
"JIKADA 61 Key Portable Electronic Keyboard Piano w/Lighted Full Size Keys,LCD,Headphones,X-Stand,Stool,Music Rest,Microphone,Note Stickers,Built-In Speakers,3 Teaching Modes,Ideal for Beginner Adult",$159.99,4.5 out of 5 stars,365 ratings,300+ bought in past month
"Starfavor 61 Key Electronic Keyboard Piano with LCD Display, Portable Electric Music Piano for Beginners Professions, include Z-style Stand, Bench, Microphone, Headphone, Keynote Stickers (SEK-561)",$169.99,4.2 out of 5 stars,551 ratings,200+ bought in past month
"Yamaha, 61-Key Portable Keyboard (PSRE473), Black",,4.6 out of 5 stars,204 ratings,100+ bought in past month
"Yamaha NP12 61-Key Lightweight Portable Keyboard with PA130 Power Adapter, Black",$239.99,4.6 out of 5 stars,"1,099 ratings",50+ bought in past month
Yamaha PSRSX900 Arranger Workstation keyboard,,4.6 out of 5 stars,364 ratings,Not Available
"Yamaha CK Series 88-Key Stage Keyboard with Built-In Speakers, Black (CK88)","$1,499.99",4.6 out of 5 stars,20 ratings,Not Available
"Yamaha PSR-E373 PKY 61-Key Premium Keyboard Pack with Power Supply, Bolt-On Stand, and Headphones, w YAM PSRE373",$249.95,4.4 out of 5 stars,135 ratings,Not Available
"Yamaha, 61-Key PSR-E273 Portable Keyboard with PA130 Power Adapter, Black",,4.7 out of 5 stars,24 ratings,Not Available
"Donner Keyboard Piano 61 Key, Electric Keyboard Kit with 249 Voices, 249 Rhythms - Includes Piano Stand, Stool, Microphone, Gift for Beginners, Black (DEK-610S)",,4.5 out of 5 stars,215 ratings,100+ bought in past month
"Fesley 88 Key Keyboard Piano with Semi-Weighted Keys, Full-Size Digital Piano Keyboard for Beginner, Piano Keyboard 88 Keys with Music Stand, Power Adapter, Sustain Pedal, Bluetooth, MIDI, Brown",,4.0 out of 5 stars,11 ratings,Not Available
"The ONE Smart Keyboard COLOR 61 Lighted Keys Piano Keyboard, MIDI Electric Piano for Beginners with 256 Tones, 64 Polyphony, Built-in LED Lights and Free Apps (Green)",$179.99 with 10 percent savings,4.5 out of 5 stars,156 ratings,100+ bought in past month
"Donner DEP-20 Beginner Digital Piano 88 Key Full Size Weighted Keyboard, Portable Electric Piano with Furniture Stand, 3-Pedal Unit",$498.99,4.6 out of 5 stars,"3,131 ratings",300+ bought in past month
